descripcion,titulo
"Agustín Lozano, titular de la FPF, tiene un panorama complicado.","Conmebol, en contra del ‘boicot’ al presidente del Federación Peruana de Fútbol"
El monarca del fútbol ecuatoriano empieza la defensa de la corona el 26 de febrero.,Cuántos jugadores fichó Aucas para defender el título de Liga Pro y debutar en Copa Libertadores
"Según la denuncia, Agustín Lozano estaría haciendo uso indebido de recursos de la Federación.","Presidente de la FPF, investigado por la Fiscalía de Perú por supuesto nexos con banda criminal "
Liderados por Marcus Rashford los Red Devils se afianzan en zona de Champions League.,Manchester United golea a Leicester y le pisa los talones a Manchester City y Arsenal
Kylian Mbappé hizo un doblete ante Lille y puso el 3-3. El argentino anotó el gol del triunfo con un tiro libre y aplaca la grave crisis que atraviesa el club.,"¡Lionel Messi desata una locura en París! ‘PSG resucita’, ‘El genio frotó la lámpara’, ‘Partido absolutamente mágico’, dice la prensa de Europa"
"En el suelo, con lágrimas en los ojos, el brasileño intentó levantarse y andar antes de tumbarse en la camilla con gestos de rabia.",Neymar se lesiona y es sacado en camilla del partido del PSG tres días después de una cena de hamburguesas con amigos y torneo de póker
"El directivo honorario de Mushuc Runa también se refirió a Gustavo Alfaro, Nassib Neme, Carlos Alfaro Moreno, Lucía Vallecilla y Marwin Pita.",Luis Alfonso Chango le metió un garrotazo al presidente de la FEF y elogió el trabajo de Miguel Ángel Loor en la Liga Pro
Precisamente 'Ney' se lesionó en el tobillo derecho este domingo contra Lille.,"“Todos duerman bien, coman bien”, el consejo de Mbappé a su equipo que tomó amplitud con la aparición de una foto de Neymar cenando hamburguesa"
"El directivo de 54 años reveló que en su juventud sus características de juego eran como las del atacante galo, que milita en el Paris Saint Germain (PSG).",¿Chango - Mbappé? Presidente honorario de Mushuc Runa se comparó con la estrella de Francia
Desde que se unió al equipo de los Seagulls no tardó en adueñarse de la titularidad. Acumula 19 juegos en Premier League.,Alucinan con el nivel de Pervis Estupiñán en Brighton
Para ganarse la etiqueta hay que tener dos décadas clasificando a Mundiales y participar bien en ellos. Ganar o llegar a una final de Copa América.,"¿Ecuador, el tercero de Sudamérica...?"
N/A,"¿Ecuador, el tercero de Sudamérica...?"
N/A,"Alfredo Bonnard, portentoso en 1953"
N/A,¿Qué causó la ‘guerra del fútbol’ en 1969?
N/A,Gana el que sabe fichar
N/A,A los críticos de Ecuador sub-20 los desubicados nos llaman ‘antipatria’
N/A,Félix Torres es suplente  en Santos Laguna y su DT lo explica así: ‘Estábamos recibiendo muchos goles’
N/A,"Kendry Páez, ‘joya de Ecuador’ que el príncipe heredero de Arabia Saudita quiere fichar para dejar ‘nocaut’ al Real Madrid"
N/A,"‘Es un reverendo vago, tuvo ocho años para llevarnos a Qatar y no lo hizo’"
N/A,"¿Abuso sexual a futbolistas juveniles? Brahian Alemán, entre los señalados por supuestos ‘excesos’ que Gimnasia y Esgrima de La Plata aclara"
N/A,"Así es la mansión de Cristiano Ronaldo en Inglaterra, que está a la venta por una cifra astronómica"
